"bill_id","sub_id","bill_date","bill_year","bill_month","billing_month","period_start","period_end","billed_amount","bill_status","_leakage_flag","first_name","last_name","phone","region","signup_date","subscriber_status","plan_id","plan_name","monthly_fee","plan_data_gb","plan_voice_min","total_data_mb","total_voice_min","total_sms","_data_flag","_data_utilization_pct","ticket_count","open_ticket_count","_resolution_flag","avg_days_to_resolve","churn_date","churn_reason","has_churned"
2,2,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","Joshua","King","555-517626","West","2025-08-23","Active","PL001","Starter",20.00,5,100,16889,612,47,"OVER_ALLOWANCE",329.9,1,1,"OPEN_NO_RESOLUTION",NULL,NULL,NULL,False
1,2,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Joshua","King","555-517626","West","2025-08-23","Active","PL001","Starter",20.00,5,100,21731,1263,50,"OVER_ALLOWANCE",424.4,NULL,NULL,NULL,NULL,NULL,NULL,False
4,3,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Paid","OK","Jessica","Taylor","555-654218","West","2025-08-10","Active","PL003","Plus",50.00,30,600,26863,707,182,"WITHIN_ALLOWANCE",87.4,NULL,NULL,NULL,NULL,NULL,NULL,False
3,3,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","Jessica","Taylor","555-654218","West","2025-08-10","Active","PL003","Plus",50.00,30,600,13921,1311,205,"WITHIN_ALLOWANCE",45.3,NULL,NULL,NULL,NULL,NULL,NULL,False
6,4,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Unpaid","REVENUE_LEAK","Amanda","Hall","555-510113","Northeast","2025-08-12","Active","PL001","Starter",20.00,5,100,17336,367,245,"OVER_ALLOWANCE",338.6,NULL,NULL,NULL,NULL,NULL,NULL,False
5,4,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Amanda","Hall","555-510113","Northeast","2025-08-12","Active","PL001","Starter",20.00,5,100,17518,1377,225,"OVER_ALLOWANCE",342.1,NULL,NULL,NULL,NULL,NULL,NULL,False
7,5,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Kimberly","Baker","555-532823","Southeast","2022-03-17","Cancelled","PL002","Standard",35.00,15,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-11-18","Other",True
9,6,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Unpaid","REVENUE_LEAK","Megan","Martinez","555-264590","Northeast","2024-12-08","Active","PL001","Starter",20.00,5,100,17399,862,49,"OVER_ALLOWANCE",339.8,NULL,NULL,NULL,NULL,NULL,NULL,False
8,6,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Megan","Martinez","555-264590","Northeast","2024-12-08","Active","PL001","Starter",20.00,5,100,16069,1265,69,"OVER_ALLOWANCE",313.8,NULL,NULL,NULL,NULL,NULL,NULL,False
10,7,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Ashley","Rivera","555-836555","West","2022-05-26","Cancelled","PL002","Standard",35.00,15,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-03","Price",True
12,8,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",90.00,"Paid","OK","Eric","Johnson","555-385532","Southeast","2025-05-31","Active","PL005","Family",90.00,120,2000,28217,382,100,"WITHIN_ALLOWANCE",23.0,NULL,NULL,NULL,NULL,NULL,NULL,False
11,8,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",90.00,"Paid","OK","Eric","Johnson","555-385532","Southeast","2025-05-31","Active","PL005","Family",90.00,120,2000,2085,682,238,"WITHIN_ALLOWANCE",1.7,NULL,NULL,NULL,NULL,NULL,NULL,False
13,9,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","Eric","Thompson","555-175437","Southwest","2021-12-12","Suspended","PL003","Plus",50.00,30,600,NULL,NULL,NULL,NULL,NULL,1,1,"RESOLVED",15.0,NULL,NULL,False
14,10,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",90.00,"Paid","OK","Nicole","Scott","555-247260","Southeast","2023-09-20","Suspended","PL005","Family",90.00,120,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False
15,11,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Jessica","Lopez","555-493677","Southeast","2021-12-06","Cancelled","PL001","Starter",20.00,5,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-18","Other",True
17,12,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Unpaid","REVENUE_LEAK","Stephanie","Green","555-175802","Midwest","2021-10-04","Active","PL003","Plus",50.00,30,600,27406,494,11,"WITHIN_ALLOWANCE",89.2,NULL,NULL,NULL,NULL,NULL,NULL,False
16,12,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","Stephanie","Green","555-175802","Midwest","2021-10-04","Active","PL003","Plus",50.00,30,600,14882,624,47,"WITHIN_ALLOWANCE",48.4,NULL,NULL,NULL,NULL,NULL,NULL,False
19,13,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Paid","OK","William","Taylor","555-301105","West","2024-07-14","Active","PL003","Plus",50.00,30,600,49,201,51,"WITHIN_ALLOWANCE",0.2,NULL,NULL,NULL,NULL,NULL,NULL,False
18,13,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","William","Taylor","555-301105","West","2024-07-14","Active","PL003","Plus",50.00,30,600,13598,1391,170,"WITHIN_ALLOWANCE",44.3,NULL,NULL,NULL,NULL,NULL,NULL,False
21,14,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Unpaid","REVENUE_LEAK","John","Taylor","555-661254","Midwest","2022-01-31","Active","PL003","Plus",50.00,30,600,27433,359,283,"WITHIN_ALLOWANCE",89.3,NULL,NULL,NULL,NULL,NULL,NULL,False
20,14,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","John","Taylor","555-661254","Midwest","2022-01-31","Active","PL003","Plus",50.00,30,600,25708,654,24,"WITHIN_ALLOWANCE",83.7,NULL,NULL,NULL,NULL,NULL,NULL,False
23,15,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Unpaid","REVENUE_LEAK","Mark","Hall","555-995726","Southwest","2023-10-22","Active","PL001","Starter",20.00,5,100,2617,743,52,"WITHIN_ALLOWANCE",51.1,NULL,NULL,NULL,NULL,NULL,NULL,False
22,15,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Mark","Hall","555-995726","Southwest","2023-10-22","Active","PL001","Starter",20.00,5,100,16492,684,168,"OVER_ALLOWANCE",322.1,1,1,"OPEN_NO_RESOLUTION",NULL,NULL,NULL,False
25,16,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Paid","OK","Jennifer","Torres","555-293498","Southwest","2023-04-22","Active","PL003","Plus",50.00,30,600,14508,1293,112,"WITHIN_ALLOWANCE",47.2,NULL,NULL,NULL,NULL,NULL,NULL,False
24,16,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","Jennifer","Torres","555-293498","Southwest","2023-04-22","Active","PL003","Plus",50.00,30,600,22178,762,214,"WITHIN_ALLOWANCE",72.2,NULL,NULL,NULL,NULL,NULL,NULL,False
27,17,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Paid","OK","Jennifer","Wilson","555-641592","Southwest","2022-11-28","Active","PL002","Standard",35.00,15,300,4731,818,231,"WITHIN_ALLOWANCE",30.8,NULL,NULL,NULL,NULL,NULL,NULL,False
26,17,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Jennifer","Wilson","555-641592","Southwest","2022-11-28","Active","PL002","Standard",35.00,15,300,16167,1405,95,"OVER_ALLOWANCE",105.3,NULL,NULL,NULL,NULL,NULL,NULL,False
29,18,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Paid","OK","Michael","Walker","555-789164","Midwest","2023-03-25","Active","PL002","Standard",35.00,15,300,13759,575,6,"WITHIN_ALLOWANCE",89.6,NULL,NULL,NULL,NULL,NULL,NULL,False
28,18,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Michael","Walker","555-789164","Midwest","2023-03-25","Active","PL002","Standard",35.00,15,300,1935,1341,221,"WITHIN_ALLOWANCE",12.6,NULL,NULL,NULL,NULL,NULL,NULL,False
31,19,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Paid","OK","Linda","Jones","555-311322","Southeast","2022-10-12","Active","PL002","Standard",35.00,15,300,11422,1277,197,"WITHIN_ALLOWANCE",74.4,NULL,NULL,NULL,NULL,NULL,NULL,False
30,19,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Linda","Jones","555-311322","Southeast","2022-10-12","Active","PL002","Standard",35.00,15,300,15674,1232,227,"OVER_ALLOWANCE",102.0,NULL,NULL,NULL,NULL,NULL,NULL,False
33,20,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Unpaid","REVENUE_LEAK","Charles","Scott","555-609608","Southeast","2021-11-01","Active","PL003","Plus",50.00,30,600,4882,889,205,"WITHIN_ALLOWANCE",15.9,NULL,NULL,NULL,NULL,NULL,NULL,False
